Time,User,Chat
10:59:52,tjsgus9787,♥♥
10:59:55,topking65,ㅋㅋ
10:59:55,도름,ㅎㅇㅎㅇㅎㅇㅎㅇㅎㅇ
10:59:57,이러케저러쿵,파 카 파 카 파 카
10:59:57,그래서날씨언제풀리냐고,밥줘 (벅벅)
11:00:02,파카1111,어머 손인욱씨 너무 귀엽다~ 다람쥐같아
11:00:03,보물찾기_,번데기 하니까 번데기탕 생각나네
11:00:04,0112hong,59분에켜놓고 7시언저리라고 하는거누구야
11:00:04,간다리간다리,반갑습니다
11:00:04,오렘,55분이 언저리라니
11:00:05,hhs333,배불러 !
11:00:05,davidnoliver,벌레탕왔다
11:00:05,이러케저러쿵,♥
11:00:05,먹어도배고픈사람,팤하
11:00:06,알면서안하기,!업타임
11:00:06,hanamother,언제와아!!!!!
11:00:07,오렘,이사람 양심..
11:00:07,싹둑,방송 업타임: 0 시간 04 분 11 초
11:00:07,에비좌,아잇~밥줘!
11:00:08,topking65,파카형 인사한번햐줘
11:00:08,김2유정,야하루
11:00:08,오_상,팤하팤하~
11:00:11,yong10215,파카
11:00:12,tjdfhr0807,8시 언저리 ㄷㄷ
11:00:12,이러케저러쿵,7시 언저리
11:00:12,파카_9999,팤하팤하~
11:00:13,오예스,예측치킨 오졌따
11:00:15,이러케저러쿵,'7시 언저리'
11:00:17,silent3136,버러지
11:00:18,백상아리_1125,7시 60분ㄷㄷ
11:00:19,yong10215,파카파카파카
11:00:19,채팅창않보는사람,아 인생한시간 손해봤네 ㅠㅠ
11:00:21,파카_9999,'7시 언저리'
11:00:23,guswns6080,캬
11:00:23,didtmdcks062,굿모닝
11:00:25,GallaxyPK,선생님 사랑해요
11:00:28,이러케저러쿵,7시 60분은 인정이지 ㅇㅇ
11:00:30,yong10215,파카오빠파카오빠❤❤
11:00:31,탈출은지능순,팤하
11:00:31,didtmdcks062,!업타임
11:00:31,파카1111,파
11:00:32,싹둑,방송 업타임: 0 시간 04 분 36 초
11:00:33,파카1111,카
11:00:33,토고농민,팤하
11:00:35,자드가자,응ㅐ
11:00:36,hhs333,팤빠
11:00:36,topking65,벌써 방송한지 1시간ㅋㅋㅋㅋㅋㅋ
11:00:37,silent3136,KonCha
11:00:38,파카1111,파카항
11:00:39,이러케저러쿵,♥
11:00:39,devkwa,오늘은 롤하기가 싫네? 게임 추천 받습니다 ㅋㅋ
11:00:39,이샹해,파카조아
11:00:41,중이니,아아
11:00:41,yong10215,파오빠파오빠파오빠❤❤❤
11:00:43,jake0133,컴터 바꿈?
11:00:45,김치전굽는사람,7시가 맞긴하지(팔짱낀 파랑이)
11:00:46,파카가돈절래를그린데이,노래제목좀요
11:00:54,이얍이얍_,!노래
11:00:55,랄팤슥,야하롱
11:00:55,중이니,잘들려요
11:00:56,yong10215,파랭이
11:00:57,장만월이지안신디이지금,컵헤드
11:00:57,파캊쨔응,오늘은 영화추천이지
11:00:58,리니사,똥싸러가셨나 좀 오래덜리시네
11:00:59,말랑구밍,방송 벌써 한시간 했내 ㄷㄷ
11:01:01,쌀민서,오
11:01:01,여심상습절도범엄준식,어이 여고생 반갑군
11:01:04,silent3136,BigPhish
11:01:06,김주청,노시그날
11:01:06,yong10215,띠껍티콘 마렵다
11:01:07,eom1243,야하루 야하루 야하루 야하루 야하루 야하루 야하루 야하루 야하루
11:01:07,간다리간다리,ㄷㄷ
11:01:08,얍얍죠아,잘보여요
11:01:08,topking65,????
11:01:09,누구야누구야,?
11:01:09,kdw5882213,ㅈㅂㅇㅇ
11:01:10,컷컽캇,?
11:01:11,파캊쨔응,ㅈㅂㅇㅇ
11:01:12,금발양아치,BibleThump
11:01:12,사람이름이못된엄준식,파카님 마스터 갈꺼같나요
11:01:12,숫자골뱅이,캠on
11:01:13,뜽둔이,!업타임
11:01:13,파카1111,노래 broox xiao - fire
11:01:14,싹둑,방송 업타임: 0 시간 05 분 18 초
11:01:15,누군가조종하는벌목기,오늘은 애니매 추천 받나요?
11:01:17,이러케저러쿵,ㅅ설마
11:01:17,레이메이,ㅈㅂㅇㅇ
11:01:19,이러케저러쿵,설마 컴바꿈?
11:01:19,yong10215,팤하
11:01:21,이러케저러쿵,설마 컴 바꿈?
11:01:22,인레잇렛,캠준비?????
11:01:23,재석삼촌힘내요,편집자 보고있으시면 유튜브좀 빨리 올려주세요 현기증 나요
11:01:24,장만월이지안신디이지금,노시그널
11:01:24,kliasd951,다람아 안농
11:01:24,이얍이얍_,ㄷㄷ 캠온
11:01:25,윈터썬,ㅎㅇ
11:01:25,허니버터마카다미아,선생님 때문에 기타 시작햇읍니다
11:01:26,yong10215,팍하
11:01:26,뜽둔이,떨마?
11:01:28,레이메이,캠온 ㄷㄷ
11:01:30,topking65,^_^_^
11:01:31,누군가조종하는벌목기,10만 이벤트??
11:01:31,hanamother,캠?
11:01:33,코가빠진코끼리,공부 내일해야지~~
11:01:33,컷컽캇,떨마
11:01:34,아뮤뮤,바꿨겠냐고 아ㅋㅋ
11:01:34,장만월이지안신디이지금,떨마는 떨마다
11:01:35,미로ㅋ,캠키면백만원!
11:01:36,갈치갈치,ㅋㅋ.
11:01:36,루동,No signal
11:01:38,하이트아라이,잘보여요
11:01:38,떡떡박사님,..?
11:01:39,맨소래담,??? 삼성페이노랜데
11:01:39,긴밤충,번데기 한캔 꿀맛이넹
11:01:40,먹어도배고픈사람,어?
11:01:41,파캊쨔응,배도 안불렀는데 왜 벌써감
11:01:42,과자_단맛짠맛,ㅈㅂㅇㅇ
11:01:42,저녑,!업타임
11:01:43,싹둑,방송 업타임: 0 시간 05 분 48 초
11:01:43,자다가봉상뚜드리는소리,얼짱 파카님 캠켜주세용
11:01:44,guswns6080,아 기대하게 만드네 또 ㅋㅋ
11:01:44,인레잇렛,10만이벤트?????
11:01:45,지밀,실패!
11:01:45,김치전굽는사람,NCS너무좋아
11:01:45,hanamother,캠키면 천.....원
11:01:45,osizoa,잭스온더뽀비
11:01:46,hee95294,컴을 바꿧겠냐고 아 ㅋㅋ
11:01:47,eldos38,뭐야 설마 손캠??
11:01:47,파카1111,캡키면 백만원! 실패...
11:01:49,너구리개다람쥐오징어새,당신은 이게 7시 언저립니까
11:01:50,kdw5882213,와난
11:01:50,silent3136,VoHiYo
11:01:51,soninuki7,손인욱! 손인욱! 손인욱!
11:01:53,고추바사삭맛있어,7시 60분 ㅋㅋ
11:01:54,kliasd951,자 드가자~
11:01:55,bog0215,10만기념 캠 3초만?
11:01:58,제노제이,캬
